Case Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Status of Case,Latitude/Longitude
727943,2303,4901,,S,BROADWAY,,,90037,07/18/0016,,111A203   239,VEIP,South Los Angeles,O,"(33.9981, -118.27853)"
717325,2303,750,,E,SLAUSON,AVE,,90001,04/23/0016,,108B205  1507,VEIP,South Los Angeles,O,"(33.98908, -118.26204)"
779315,1111,1552,,W,59TH,PL,,90047,07/27/0017,,105B193   289,GENERAL,South Los Angeles,O,"(33.9866, -118.30428)"
725504,2303,8902,,S,AVALON,BLVD,,90002,07/02/0016,,096A207   234,VEIP,South Los Angeles,O,"(33.95544, -118.26497)"
883971,2304,,,,,,,,10/20/0019,,150B213   943,VEIP,East Los Angeles,O,
840847,2122,308,,N,SAN PASCUAL,AVE,,90042,01/10/0019,,153A233    63,GENERAL,East Los Angeles,O,
939399,3113,19101,,W,SARITA,PL,,91356,11/14/0021,,165B121   164,GENERAL,South Valley,O,"(34.15091, -118.54924)"
938858,2203,2555,,N,BENEDICT CANYON,DR,,90210,11/10/0021,,153B153    11,CITATIONS,West Los Angeles,O,"(34.11847, -118.436)"
938863,2122,1800,,W,COLORADO,BLVD,,90041,11/10/0021,,162A225   123,GENERAL,East Los Angeles,O,"(34.13915, -118.20636)"
939249,3143,6811,,N,CHISHOLM,AVE,,91406,11/12/0021,,183B145   742,GENERAL,South Valley,O,"(34.19443, -118.47177)"
939201,3113,19222,,W,ROSCOE,BLVD,,91324,11/11/0021,,192B117   777,GENERAL,South Valley,O,"(34.22032, -118.55212)"
938960,1132,3831,,S,WESTSIDE,AVE,,90008,11/11/0021,,117B185   697,GENERAL,South Los Angeles,O,"(34.01647, -118.32723)"
938981,3102,6229,,N,AUCKLAND,AVE,,91606,11/11/0021,,177B177   202,GENERAL,South Valley,O,"(34.18385, -118.36062)"
938867,4400,1918,,W,SUNSET,BLVD,,90026,11/10/0021,,139-5A207  82,NAR,East Los Angeles,O,"(34.07781, -118.26133)"
938934,2103,4161,,N,WESLIN,AVE,,91423,11/11/0021,,162B157   217,GENERAL,South Valley,O,"(34.14259, -118.4321)"
939205,1102,8133,,S,ZITOLA,TER,,90293,11/11/0021,,096B153   336,GENERAL,West Los Angeles,O,"(33.96066, -118.44426)"
873317,3131,20845,,,PRAIRIE,ST,,91311,08/02/0019,,198B109    76,GENERAL,North Valley,O,
775983,1122,1730,,E,WASHINGTON,BLVD,,90058,07/01/0017,,118-5A213  51,GENERAL,South Los Angeles,O,"(34.02022, -118.24171)"
883615,2301,816,,N,WAINWRIGHT,AVE,,90744,10/18/0019,,033B213   985,VEIP,Harbor,O,"(33.78213, -118.23529)"
883550,2103,4426,,N,STANSBURY,AVE,,91423,10/18/0019,,165B153   196,GENERAL,South Valley,O,"(34.1513, -118.44092)"
883613,2121,643,,S,SOTO,ST,,90023,10/18/0019,,124-5A221  96,GENERAL,East Los Angeles,O,"(34.03639, -118.21463)"
883611,2100,2134,,W,SUNSET,BLVD,,90026,10/18/0019,,139-5A207 120,NAR,East Los Angeles,O,"(34.07723, -118.26485)"
883612,2130,650,,W,ROMULO,ST,,90065,10/18/0019,,144A219   145,GENERAL,East Los Angeles,O,"(34.08988, -118.22219)"
939492,3204,23353,,W,GILMORE,ST,,91307,11/14/0021,,180B093   738,CITATIONS,South Valley,O,"(34.18748, -118.63637)"
939371,2102,655,,N,ROSSMORE,AVE,,90004,11/12/0021,,141B185   617,GENERAL,Central,O,"(34.08313, -118.3268)"
939111,3142,8058,,N,TYRONE,AVE,,91402,11/11/0021,,189B153   176,GENERAL,North Valley,O,"(34.21774, -118.44316)"
939383,8137,927,,S,CENTRE,ST,,90731,11/14/0021,,015B201   433,PACE,Harbor,O,"(33.73547, -118.28368)"
939255,1143,1647,,W,215TH,ST,,90501,11/12/0021,,051B193   686,GENERAL,Harbor,O,"(33.83359, -118.3081)"
939437,1103,12714,,W,WALSH,AVE,,90066,11/14/0021,,108B157  1740,GENERAL,West Los Angeles,O,"(33.98795, -118.42762)"
938832,3123,10119,,N,MT GLEASON,AVE,,91040,11/10/0021,,204B193  1223,GENERAL,North Valley,O,"(34.25296, -118.30281)"
939349,4105,1305,,N,SYCAMORE,AVE,,90028,11/12/0021,,144B181   110,CNAP,Central,O,"(34.09459, -118.34302)"
938859,2122,4763,,N,EAGLE ROCK,BLVD,,90041,11/10/0021,,160-5A221 383,GENERAL,East Los Angeles,O,"(34.13212, -118.21644)"
939254,3143,6803,,N,ALDEA,AVE,,91406,11/12/0021,,183B133   967,GENERAL,South Valley,O,"(34.19425, -118.5085)"
933787,3102,5659,,N,AUCKLAND,AVE,,91601,10/01/0021,,174B177   347,GENERAL,South Valley,O,"(34.17378, -118.3606)"
933853,3132,10404,,N,DE SOTO,AVE,,91311,10/02/0021,,204B109    44,GENERAL,North Valley,O,"(34.25907, -118.58833)"
939390,8137,1001,,S,CENTRE,ST,,90731,11/14/0021,,015B201   504,PACE,Harbor,O,"(33.73492, -118.28368)"
933090,8137,355,,W,11TH,ST,,90731,09/29/0021,,015B201   599,PACE,Harbor,O,"(33.73409, -118.28481)"
933109,3101,13948,,W,BESSEMER,ST,,91401,09/29/0021,,177B153   734,GENERAL,South Valley,O,"(34.18108, -118.43723)"
933573,1121,8724,,S,CENTRAL,AVE,,90002,10/01/0021,,096A209    47,GENERAL,South Los Angeles,O,"(33.95858, -118.2562)"
933498,8121,3338,,W,MADERA,AVE,,90039,09/30/0021,,153B209   807,PACE,East Los Angeles,O,"(34.11381, -118.25874)"
933310,3132,17129,,W,SUNDERLAND,DR,,91344,09/30/0021,,219B133   618,GENERAL,North Valley,O,"(34.29379, -118.50698)"
933972,3306,8632,,N,DARBY,AVE,,91325,10/02/0021,,195B125   961,VEIP,North Valley,O,"(34.22736, -118.53373)"
